标题,路线,day,src,stayKind,placeId,themes,city_zh,city_en,stay_zh,stay_en,drive_zh,drive_en,transport_zh,transport_en,lodging_zh,lodging_en,blurb_zh,blurb_en,dining_zh,dining_en,bullets_zh,bullets_en,photos
"r1-D01 南宁","r1","1","zh","hotel","nanning","locals","南宁","Nanning","邕江边，第一夜","Yong River, first Chinese night","","","接机，然后一个慢的城市夜","Airport pickup, then a slow city night","江景花园酒店","Riverside garden stay","","","午餐：看抵达时间
晚餐：中山路螺蛳粉","Lunch: depending on arrival
Dinner: snail noodles on Zhongshan Road","城市适应
上路前休息","City orientation
Rest before the road",""
"r1-D02 崇左","r1","2","zh","hotel","chongzuo","wild","崇左","Chongzuo","看山，瀑布之后","Karst road, after the falls","南宁→德天约 3.5 小时 · 德天→明仕约 1 小时","Nanning → Detian ~3.5 h · Detian → Mingshi ~1 h","专车至德天瀑布（约 3.5 小时），再赴明仕田园（约 1 小时）","Private car to Detian Falls (~3.5 h), then on to Mingshi Pastoral (~1 h)","看山的小住","Karst-view lodge","","","午餐：瀑布附近的河鱼
晚餐：崇左糯米一桌","Lunch: river fish near the falls
Dinner: Chongzuo sticky rice table","","",""
"r1-D03 下龙","r1","3","zh","hotel","halong","wild","下龙","Ha Long","湾上第一夜","First night on the bay","崇左赴东兴，过境后再赴下龙","Chongzuo → Dongxing, then into Vietnam","崇左赴东兴（约 2.5 小时），芒街口岸入境越南，再赴下龙（约 3 小时）","Chongzuo → Dongxing (~2.5 h), cross at Mong Cai, then on to Ha Long (~3 h)","下龙看湾的酒店","Bay-facing hotel in Ha Long","","","午餐：过关之后
晚餐：港边海鲜","Lunch: after the crossing
Dinner: seafood on the harbour","","",""
"r1-D04 下龙","r1","4","zh","hotel","halong","wild","下龙","Ha Long","湾上第二夜","Second night on the bay","","","下龙湾一日游轮出海","Day cruise on Ha Long Bay","同一家看湾酒店，不用收行李","Same bay hotel — no packing","今天不赶路，整日在水上：游轮钻进大船绕开的湖，傍晚整座湾又交还给你。连住两晚，才看得见它「离开又回来」。","A full day on the water instead of a pass-through: the cruise eases into lagoons the big boats skip, and by evening the bay is yours again. Two nights is what lets you watch it leave and come back.","午餐：游轮上
晚餐：回到下龙镇上","Lunch: on the boat
Dinner: back in Ha Long town","海上喀斯特风光","Karst seascape among the limestone isles",""
"r1-D05 吉婆岛","r1","5","zh","hotel","catba","wild","吉婆岛","Cat Ba Island","岛上港边过夜","Harbour night on the island","","","下龙轮渡登陆吉婆岛，约 1 小时","Ferry from Ha Long to Cat Ba, ~1 h","看湾的小岛酒店","Bay-facing island hotel","从下龙坐一小段轮渡，便是一座还按自己节奏过的岛——上午划船进湖，下午走国家公园，夜里港边海鲜。这一夜是水，不是高速旁的酒店。","A short ferry from Ha Long, then an island still keeping its own hours — kayaking the lagoons in the morning, the national park in the afternoon, harbour seafood at night. The night here is water, not a highway hotel.","午餐：登岛之后
晚餐：港边海鲜","Lunch: on the island after landing
Dinner: harbour seafood","海岛休闲","An unhurried island afternoon",""
"r1-D06 河内","r1","6","zh","hotel","hanoi","flavors,locals","河内","Hanoi","古城，第一夜","Old Quarter, first night","跨海缆车至海防 · 18:40 米轨赴河内","Cable to Hai Phong · metre-gauge 18:40 to Hanoi","吉婆岛跨海缆车至海防；18:40 百年米轨前往河内（约 2 小时）","Cat Ba cable to Hai Phong; 18:40 metre-gauge into Hanoi (~2 h)","湖边法租界小住","French-quarter hide near the lake","","","等候时赠送越南滴漏咖啡
晚餐：下车后在古城","Afternoon: Vietnamese drip coffee while you wait
Dinner: after the train, Old Quarter","参观海防百年老火车站；等候赠送越南滴漏咖啡","Hai Phong’s century-old station; drip coffee while you wait",""
"r1-D07 河内","r1","7","zh","hotel","hanoi","flavors,locals","河内","Hanoi","古城，第二夜","Old Quarter, second night","","","古城步行 + 三轮车","On foot and cyclo in the Old Quarter","同一栋修好的老房子，不用收行李","Same restored house — no packing","在老城的第二天慢下来：三轮车绕湖，巴亭广场与河内大教堂，天暗了去火车街。同一栋老房子，不用收行李——这座城本身就是行程。","The second day in the Old Quarter moves slower: a cyclo past the lake, Ba Dinh and St Joseph's, then Train Street as the light goes. Same restored house, no packing — the city is the itinerary.","午餐：湖边一桌
晚餐：古城街头一摊","Lunch: a city table near the lake
Dinner: Old Quarter street stall","巴亭广场、胡志明故居、河内大教堂
火车街","Ba Dinh Square, Ho Chi Minh’s residence, St Joseph’s Cathedral
Train Street",""
"r1-D08 沙坝","r1","8","zh","hotel","sapa","villages","沙坝","Sapa","镇上看田","Terraces above the town","专车约 5.5–6 小时","Private car · 5.5–6 h","河内包车前往沙坝，车程 5.5–6 小时","Private car Hanoi → Sapa, 5.5–6 h","看田的山居","Terrace-facing mountain lodge","","","午餐：山路途中
抵达后梯田下午茶","Lunch: on the mountain road
Afternoon tea among the terraces","","",""
"r1-D09 沙坝","r1","9","zh","hotel","sapa","wild,villages","沙坝","Sapa","同一山居，不拎箱子","Same lodge, no suitcase","","","番西邦缆车 + 芒花小火车，下午步行猫猫村","Fansipan cable + Muong Hoa train, then Cat Cat on foot","看田的山居 · 第二晚","Terrace-facing mountain lodge — second night","第二天上午缆车上番西邦，下午步行下猫猫村——梯田在肩膀的高度，村里还用手种着。连住两晚，雾在稻子上才有了落脚处。","The second morning rides the cable up Fansipan, then comes down to Cat Cat on foot — terraces at shoulder height, a village that still farms them by hand. Two nights so the mist on the rice has somewhere to settle.","午餐：下山后在谷里
晚餐：高地热锅","Lunch: after the cable, in the valley
Dinner: highland hot pot","黑苗族集市（看当天）
阳台上看梯田的傍晚","Hmong market, if the morning allows
Terrace-view evening from the balcony",""
"r1-D10 建水","r1","10","zh","hotel","jianshui","villages","建水","Jianshui","古城墙里","Inside the old town wall","沙坝—老街—河口，再乘车赴建水","Sapa → Lao Cai → Hekou, then to Jianshui","沙坝至老街（约 1 小时），河口口岸出境，乘车赴建水（约 3 小时）","Sapa → Lao Cai (~1 h), exit at Hekou, then car to Jianshui (~3 h)","城墙里的院子客栈","Courtyard inn inside the wall","","","午餐：过关之后
晚餐：天井里的烤豆腐","Lunch: after the crossing
Dinner: grilled tofu in the courtyard","","",""
