id,src,group_id,group_zh,group_en,q_zh,q_en,a_zh,a_en
"faq-cards","zh","money","支付与货币","Payment & Money","在中国可以用境外信用卡（Visa / Mastercard）或现金吗？","Can I use my foreign credit cards (Visa/Mastercard) or cash in China?","现金在法律上当然能花，但今天的中国早已是「一部手机走天下」的社会——小摊贩、街边小吃和出租车，很多时候真的找不开零钱。国际信用卡（Visa、Mastercard、Amex）在高端酒店和讲究的餐厅基本都收，但到了本地景区、小店铺就刷不了了。想全程省心，建议出发前先把手机支付开通好。","While cash is legally accepted everywhere, China has practically transitioned into a cashless, mobile-first society. Many small vendors, street food stalls, and taxis simply do not carry physical change anymore. Standard international plastic cards (Visa/Mastercard/Amex) are generally welcome at luxury hotels and high-end restaurants, but will not work at local scenic spots or boutiques. To travel with absolute peace of mind, we highly recommend setting up mobile payments before you arrive."
"faq-alipay","zh","money","支付与货币","Payment & Money","没有中国银行卡，怎么开通支付宝或微信支付？","How can I set up Alipay or WeChat Pay without a Chinese bank account?","放心，现在这件事比想象中简单得多。支付宝和微信都做了国际版：下载 App，用境外手机号注册，再拿护照做一次快速实名认证，就能直接绑定你的境外信用卡或借记卡。付钱时，让商家扫你的付款码，或者你扫商家的收款码，都可以。顺便一提：单笔 200 元以下的交易是免手续费的。","Don't worry, the process is incredibly straightforward nowadays! Both Alipay and WeChat have tailored international versions. All you need to do is download the app, sign up with your international phone number, and complete the quick Real-name Verification using your passport. From there, you can seamlessly link your foreign credit or debit cards. When buying something, the vendor will simply scan your app's QR code, or you can scan theirs. Bonus tip: Transaction fees are completely waived for amounts under 200 RMB!"
"faq-tipping","zh","money","支付与货币","Payment & Money","在餐厅和出租车上需要给小费吗？","Is tipping customary or expected in restaurants and taxis?","不需要——中国没有小费文化。无论是在街边小面馆，还是打车横穿半座城，标价多少就付多少。反而你若把零钱留在桌上，服务员多半会追出来，以为你「不小心落了钱」。所以吃完饭不必算数，安心受用这份待客之道就好。","No, there is absolutely no tipping culture in China. Whether you are dining at a cozy noodle stall or taking a taxi across the city, the price listed is exactly what you pay. In fact, leaving extra cash on the table might actually cause gentle confusion, as polite servers will likely run after you to return the money you ""accidentally forgot."" Relax and enjoy the authentic hospitality without worrying about math at the end of your meal!"
"faq-firewall","zh","digital","网络、应用与沟通","Digital Connectivity & Apps","我常用的社交软件、谷歌地图和 Gmail 在中国能用吗？","Will my standard social media, Google Maps, and Gmail work in China?","连本地 Wi-Fi 时，部分国际平台（Google、WhatsApp、Instagram、Gmail 等）会受限。最省事的办法是出发前买一张旅行 eSIM 或开通国际漫游——走手机蜂窝数据就不受这些限制，和家里人联系一路顺畅，也不用再折腾 VPN。","Mainland China utilizes a network firewall that temporarily restricts access to certain international platforms like Google, WhatsApp, Instagram, and Gmail when you connect through local Wi-Fi. The most seamless remedy is purchasing a travel eSIM or an international roaming plan before you depart. Cellular roaming data automatically bypasses these network blocks, keeping you smoothly connected to your family and friends back home without needing to fiddle with a separate VPN."
"faq-esim","zh","digital","网络、应用与沟通","Digital Connectivity & Apps","eSIM 和当地实体卡，哪个更适合我的行程？","eSIM vs. Local Physical SIM Card: Which option is better for my trip?","看你怎么玩。短期度假一般更推荐 eSIM——落地就能用，WhatsApp 立刻在线。但如果你打算待久一点、要点外卖、或注册一些需要短信验证码的本地 App，那就在机场到达厅办一张本地实体卡，有个本地号码加流量，价格也相当实惠。","It truly depends on your travel style, but eSIMs are usually the favorite choice for short-term holidaymakers because they allow you to keep your WhatsApp active instantly upon landing. However, if you plan to stay a bit longer, order local food deliveries, or use certain domestic apps that require verification codes, picking up a local physical SIM card at the airport arrival hall is a fantastic alternative. It grants you a local number and data at an incredibly budget-friendly rate."
"faq-language","zh","digital","网络、应用与沟通","Digital Connectivity & Apps","完全不懂中文，沟通怎么办？","How can I communicate if I do not speak or read any Chinese?","国际酒店、高铁站和大城市的年轻人，英语基本都通；但碰到本地司机或菜市场的摊主，偶尔还是会卡住。建议装一个带实时语音对话和拍照翻译的 App——把镜头对准菜单或路牌，意思立刻就出来了。原本的障碍，反而会变成旅途中挺好玩的一件事。","While English is widely understood by staff at international hotels, high-speed train stations, and younger generations in major cities, you might run into language gaps with local cab drivers or market vendors. We warmly recommend downloading a translation app with live voice-to-voice translation and camera scanning features. Simply pointing your camera at a traditional menu or a street sign will instantly translate it, turning a potential barrier into a fun, interactive part of your journey!"
"faq-apps","zh","digital","网络、应用与沟通","Digital Connectivity & Apps","落地前，手机上该装好哪些应用？","What essential applications should I install on my phone before landing?","想让整趟旅程顺顺当当，建议先装好「四件套」：支付宝和微信（日常购物、吃饭、买咖啡都靠它们）；Trip.com（英文界面搞定酒店、高铁票和景区门票，非常好用）；苹果地图或地铁类 App（导航不迷路）；再一个翻译 App，日常沟通就都有了着落。","To make your trip feel incredibly smooth and effortless, we suggest downloading the ""Big Four"" travel bundle: Alipay & WeChat for all your daily shopping, dining, and coffee runs; Trip.com, the ultimate lifesaver for managing your hotel bookings, bullet train tickets, and attraction entry passes in English; Apple Maps or Metro apps for flawless navigation; and a translation app as your digital companion for warm daily conversations."
"faq-train","zh","transport","交通出行与导航","Getting Around & Navigation","外国游客搭乘高铁方便吗？","Is it easy for foreign tourists to navigate and ride the High-Speed Trains?","非常方便。中国的高铁网是世界级的——干净、准点、效率极高。用护照信息在 Trip.com 这类英文平台就能轻松订票。还有个好消息：现在已经全面电子客票，不用排队取纸质票了。到站后走人工通道或自助验护照的闸机，递上护照即可上车。","Absolutely! China's high-speed rail network is world-class, pristine, and incredibly efficient. Booking is effortless through English platforms like Trip.com using your passport details. The best part? China has gone completely paperless. You do not need to queue up to collect physical tickets anymore. When you arrive at the station, simply walk through the designated manual gate or automated passport reader, present your physical passport, and you are ready to board!"
"faq-taxi","zh","transport","交通出行与导航","Getting Around & Navigation","语言不通，怎么安全打车？","How do I hail a taxi safely if I can't speak the language?","完全不必在路边招手、也不必跟司机比划。支付宝里就有「滴滴」——中国的网约车平台（类似 Uber）。界面是英文的，目的地可以直接用英文输入，还内置实时翻译，能和司机顺畅沟通。车费从绑定的卡里自动扣，到站直接下车走人。","You never have to worry about waving down a cab on the street or dealing with language confusion. Right inside your Alipay app, you will find ""DiDi"" — China's premier ride-hailing service (similar to Uber). The entire interface is in English, you can type your destination in English, and it features a built-in real-time translation chat so you can easily message your driver. Best of all, payments are automatically processed online through your linked card, so you can just step out when you arrive."
"faq-maps","zh","transport","交通出行与导航","Getting Around & Navigation","谷歌地图在中国导航准吗？","Does Google Maps provide accurate routing and schedules in China?","受本地地图测绘规定影响，谷歌地图在国内有时会有些坐标偏移，公交信息也可能不够新。用 iPhone 的话，苹果地图体验很好——数据来自本地图商，界面也是清爽的英文。安卓用户可以把翻译工具和本地地图搭配着用，或选择对英文友好的旅行地图站点，一样不会迷路。","Because of local mapping regulations, Google Maps can sometimes show a slight coordinate shift or outdated transit schedules within the country. If you are using an iPhone, Apple Maps works beautifully because it sources data from native mapping giants and displays everything in crisp English. For Android users, combining translator tools with native apps or utilizing English-friendly travel map portals will ensure you never lose your way."
